exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,position,age
1879026879,conf_avellaneda_market_making_1.yml,avellaneda_market_making,binance,BTC-USDT,BTC,USDT,1664180963000,x-XEKWYICXBBCUT5e99053060222a1b9,BUY,LIMIT_MAKER,19077.68000000,0.00300000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:02
1879027207,conf_avellaneda_market_making_1.yml,avellaneda_market_making,binance,BTC-USDT,BTC,USDT,1664180968000,x-XEKWYICXBBCUT5e99053617b47a1b9,BUY,LIMIT_MAKER,19074.46000000,0.00300000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:01
1879027784,conf_avellaneda_market_making_1.yml,avellaneda_market_making,binance,BTC-USDT,BTC,USDT,1664180976000,x-XEKWYICXBBCUT5e99053db9fd7a1b9,BUY,LIMIT_MAKER,19077.09000000,0.00300000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:01
1879028327,conf_avellaneda_market_making_1.yml,avellaneda_market_making,binance,BTC-USDT,BTC,USDT,1664180986000,x-XEKWYICXSBCUT5e99054748a48a1b9,SELL,LIMIT_MAKER,19077.14000000,0.00300000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:01
1879028726,conf_avellaneda_market_making_1.yml,avellaneda_market_making,binance,BTC-USDT,BTC,USDT,1664180991000,x-XEKWYICXSBCUT5e99054c182d8a1b9,SELL,LIMIT_MAKER,19083.19000000,0.00300000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:01
1879029014,conf_avellaneda_market_making_1.yml,avellaneda_market_making,binance,BTC-USDT,BTC,USDT,1664180995000,x-XEKWYICXSBCUT5e9905500518aa1b9,SELL,LIMIT_MAKER,19085.89000000,0.00300000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:01
1879029975,conf_avellaneda_market_making_1.yml,avellaneda_market_making,binance,BTC-USDT,BTC,USDT,1664181004000,x-XEKWYICXSBCUT5e99055874ad3a1b9,SELL,LIMIT_MAKER,19095.42000000,0.00300000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:01
1879032231,conf_avellaneda_market_making_1.yml,avellaneda_market_making,binance,BTC-USDT,BTC,USDT,1664181011000,x-XEKWYICXSBCUT5e99055f335d6a1b9,SELL,LIMIT_MAKER,19098.84000000,0.00300000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:01
1879032663,conf_avellaneda_market_making_1.yml,avellaneda_market_making,binance,BTC-USDT,BTC,USDT,1664181013000,x-XEKWYICXSBCUT5e990561f77b0a1b9,SELL,LIMIT_MAKER,19105.23000000,0.00164000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:00
1879033042,conf_avellaneda_market_making_1.yml,avellaneda_market_making,binance,BTC-USDT,BTC,USDT,1664181017000,x-XEKWYICXBBCUT5e990564d3f45a1b9,BUY,LIMIT_MAKER,19103.50000000,0.00300000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:01
