exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,position,age
1876220879,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664131443000,x-XEKWYICXSBCUT5e984c6834e97a1b9,SELL,LIMIT_MAKER,18913.65000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:01:24
1876224514,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664131507000,x-XEKWYICXBBCUT5e984cf27dc8fa1b9,BUY,LIMIT_MAKER,18883.34000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:03
1876252110,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664131928000,x-XEKWYICXSBCUT5e984e4e94d8ea1b9,SELL,LIMIT_MAKER,18912.41000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:59
1876257890,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664132042000,x-XEKWYICXSBCUT5e984ec107235a1b9,SELL,LIMIT_MAKER,18938.80000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:53
1876276065,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664132401000,x-XEKWYICXBBCUT5e984f2dbe40fa1b9,BUY,LIMIT_MAKER,18928.03000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:04:58
1876291102,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664132822000,x-XEKWYICXSBCUT5e9851a32b26fa1b9,SELL,LIMIT_MAKER,18938.86000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:59
1876346826,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664134540000,x-XEKWYICXBBCUT5e9857b0e3144a1b9,BUY,LIMIT_MAKER,18952.46000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:02:32
1876367419,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664134946000,x-XEKWYICXBBCUT5e98599b13c19a1b9,BUY,LIMIT_MAKER,18909.39000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:00:44
1876400508,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664135603000,x-XEKWYICXSBCUT5e985b1e447ffa1b9,SELL,LIMIT_MAKER,18911.11000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:04:55
1876443483,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664137044000,x-XEKWYICXBBCUT5e9860ee001a9a1b9,BUY,LIMIT_MAKER,18896.36000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:02:56
1876453441,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664137277000,x-XEKWYICXSBCUT5e9861d0053afa1b9,SELL,LIMIT_MAKER,18910.90000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:02:52
1876459587,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664137475000,x-XEKWYICXBBCUT5e9862ae3a29aa1b9,BUY,LIMIT_MAKER,18893.50000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:02:17
1876475306,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664137924000,x-XEKWYICXSBCUT5e98648a16a0aa1b9,SELL,LIMIT_MAKER,18942.18000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:01:27
1876508559,conf_pure_mm_1.yml,pure_market_making,binance,BTC-USDT,BTC,USDT,1664139107000,x-XEKWYICXBBCUT5e986875602b7a1b9,BUY,LIMIT_MAKER,18912.43000000,0.00100000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'BNB', 'flat_fees': [{'token': 'BNB', 'amount': '0E-8'}]}",NIL,00:03:38
